communality,authority,superiority,exhibitionism,vanity,selfsufficiency,entitlement,exploitativeness
mankind,,,,,,,
reading,,,,,,,
responsibilities,,,,,,,
rights,,,,,,,
sroi,,,,,,,
success,,,,,,,
welfare,,,,,,,
wellbeing,,,,,,,
wisdom,,,,,,,
communal,,,,,,,
cadre,,,,,,,
joint,,,,,,,
unison,,,,,,,
guild,,,,,,,
solidarity,,,,,,,
cohort,,,,,,,
ally,,,,,,,
insider,,,,,,,
apostasy,,,,,,,
apostate,,,,,,,
deserting,,,,,,,
imposter,,,,,,,
miscreant,,,,,,,
spy,,,,,,,
sequester,,,,,,,
renegade,,,,,,,
aidful,,,,,,,
assuring,,,,,,,
encouraging,,,,,,,
patient,,,,,,,
ready to help,,,,,,,
supportive,,,,,,,
thoughtful,,,,,,,
tolerant,,,,,,,
agreeable,,,,,,,
cordial,,,,,,,
diplomatic,,,,,,,
familiar,,,,,,,
genial,,,,,,,
gracious,,,,,,,
neighborly,,,,,,,
open,,,,,,,
pleasant,,,,,,,
receptive,,,,,,,
straightforward,,,,,,,
care for,,,,,,,
enhance,,,,,,,
improve,,,,,,,
lend a hand,,,,,,,
nurture,,,,,,,
open-mindedness,,,,,,,
universalism,,,,,,,
altruistic,,,,,,,
amity,,,,,,,
assisted,,,,,,,
assisting,,,,,,,
belong,,,,,,,
belonged,,,,,,,
belonging,,,,,,,
belongs,,,,,,,
cares,,,,,,,
donate,,,,,,,
donated,,,,,,,
donates,,,,,,,
donating,,,,,,,
donation,,,,,,,
forgave,,,,,,,
forgive,,,,,,,
gave,,,,,,,
gift,,,,,,,
gifts,,,,,,,
giving,,,,,,,
helped,,,,,,,
helps,,,,,,,
humanitarian,,,,,,,
humanitarianism,,,,,,,
kindheated,,,,,,,
kindheartness,,,,,,,
loves,,,,,,,
obligation,,,,,,,
obligations,,,,,,,
philanthropic,,,,,,,
philanthropies,,,,,,,
pitied,,,,,,,
pities,,,,,,,
pity,,,,,,,
pitying,,,,,,,
provided,,,,,,,
provides,,,,,,,
providing,,,,,,,
relief,,,,,,,
responsible,,,,,,,
sacrificed,,,,,,,
sacrificing,,,,,,,
serves,,,,,,,
serving,,,,,,,
shared,,,,,,,
shares,,,,,,,
victim,,,,,,,
victims,,,,,,,
volunteered,,,,,,,
volunteering,,,,,,,
equalpay,,,,,,,
equalpayday,,,,,,,
fairshot,,,,,,,
marriage equality,,,,,,,
paycheck fairness,,,,,,,
women success,,,,,,,
accepts,,,,,,,
afford,,,,,,,
affordability,,,,,,,
affording,,,,,,,
affords,,,,,,,
all inclusive,,,,,,,
balance,,,,,,,
balanced,,,,,,,
balances,,,,,,,
balancing,,,,,,,
bipartisan,,,,,,,
broadminded,,,,,,,
clemency,,,,,,,
climate,,,,,,,
coalition,,,,,,,
diplomacy,,,,,,,
diplomat,,,,,,,
diplomats,,,,,,,
discriminate,,,,,,,
discriminates,,,,,,,
discriminating,,,,,,,
discrimination,,,,,,,
diverse,,,,,,,
diversity,,,,,,,
egalitarian,,,,,,,
equitability,,,,,,,
even,,,,,,,
evenness,,,,,,,
everyone,,,,,,,
global,,,,,,,
integrity,,,,,,,
interfaith,,,,,,,
international,,,,,,,
intersectionalism,,,,,,,
justness,,,,,,,
multinational,,,,,,,
oppress,,,,,,,
oppressed,,,,,,,
oppressing,,,,,,,
oppression,,,,,,,
right,,,,,,,
transparency,,,,,,,
ubiquitous,,,,,,,
unfair,,,,,,,
union,,,,,,,
unitednation,,,,,,,
universal,,,,,,,
accord,,,,,,,
affinity,,,,,,,
aid,,,,,,,
aided,,,,,,,
aiding,,,,,,,
allies,,,,,,,
buddies,,,,,,,
buddy,,,,,,,
chat,,,,,,,
chats,,,,,,,
chatted,,,,,,,
chatting,,,,,,,
closeness,,,,,,,
common good,,,,,,,
common ground,,,,,,,
common grounding,,,,,,,
common groundsel,,,,,,,
common groundlessly,,,,,,,
common grounded,,,,,,,
common groundling,,,,,,,
common groundly,,,,,,,
common groundy,,,,,,,
common groundneedle,,,,,,,
common groundwave,,,,,,,
common groundmass,,,,,,,
common ground-glass,,,,,,,
common groundnutseed,,,,,,,
common ground-truck,,,,,,,
common groundenell,,,,,,,
common groundedly,,,,,,,
common groundwood,,,,,,,
common groundnuts,,,,,,,
common groundable,,,,,,,
common groundflower,,,,,,,
common groundedness,,,,,,,
common groundsill,,,,,,,
common ground-swell,,,,,,,
common grounds,,,,,,,
common groundlessness,,,,,,,
common groundberry,,,,,,,
common groundably,,,,,,,
common groundman,,,,,,,
common groundliness,,,,,,,
common groundless,,,,,,,
common grounder,,,,,,,
common groundage,,,,,,,
common groundbird,,,,,,,
common groundplot,,,,,,,
common groundnut,,,,,,,
common groundwork,,,,,,,
common ground-level,,,,,,,
common groundsman,,,,,,,
common groundward,,,,,,,
conversed,,,,,,,
converses,,,,,,,
conversing,,,,,,,
crew,,,,,,,
familys',,,,,,,
family's,,,,,,,
justly,,,,,,,
kin,,,,,,,
kindly,,,,,,,
kinship,,,,,,,
law,,,,,,,
laws,,,,,,,
middle ground,,,,,,,
oneness,,,,,,,
pal,,,,,,,
pals,,,,,,,
partied,,,,,,,
public,,,,,,,
publicly,,,,,,,
taught,,,,,,,
treaty,,,,,,,
uniting,,,,,,,
be concerned,,,,,,,
condolences,,,,,,,
feel bad,,,,,,,
feel sorry for,,,,,,,
openness,,,,,,,
put up with,,,,,,,
vent,,,,,,,
adopt,,,,,,,
advice,,,,,,,
be of assistance,,,,,,,
be supportive,,,,,,,
bestow,,,,,,,
carry,,,,,,,
cheer up,,,,,,,
cherish,,,,,,,
coach,,,,,,,
cultivate,,,,,,,
cure,,,,,,,
encourage,,,,,,,
foster,,,,,,,
give a hand,,,,,,,
give support to,,,,,,,
heal,,,,,,,
look after,,,,,,,
make good,,,,,,,
make well,,,,,,,
mend,,,,,,,
minister to,,,,,,,
nurse back to health,,,,,,,
raise,,,,,,,
raise spirits,,,,,,,
relieve,,,,,,,
repair,,,,,,,
restore to health,,,,,,,
supply,,,,,,,
take care of,,,,,,,
take on board,,,,,,,
tutor,,,,,,,
accommodating,,,,,,,
accountability,,,,,,,
adopted,,,,,,,
affordable housing,,,,,,,
affordable,,,,,,,
aids,,,,,,,
american,,,,,,,
beneficially,,,,,,,
benefit the masses,,,,,,,
benefits,,,,,,,
charitability,,,,,,,
charitable foundation,,,,,,,
charitable giving,,,,,,,
charitably ,,,,,,,
charities,,,,,,,
civic duties,,,,,,,
civic duty,,,,,,,
civic engagement,,,,,,,
civic engagements,,,,,,,
clean,,,,,,,
cleaned,,,,,,,
cleaner,,,,,,,
cleaning,,,,,,,
cleanliness,,,,,,,
cleanup,,,,,,,
collective well-being,,,,,,,
collective well-beings,,,,,,,
collectively,,,,,,,
commitments,,,,,,,
communities,,,,,,,
community development ,,,,,,,
community developments,,,,,,,
community group,,,,,,,
community groups,,,,,,,
community impact,,,,,,,
community minded,,,,,,,
community mission,,,,,,,
community outreach,,,,,,,
community policies,,,,,,,
community policy,,,,,,,
community project,,,,,,,
community projects,,,,,,,
countries,,,,,,,
country,,,,,,,
county,,,,,,,
csr,,,,,,,
cultural preservation,,,,,,,
cultures,,,,,,,
custodian,,,,,,,
delegation,,,,,,,
demographic,,,,,,,
diet,,,,,,,
disability,,,,,,,
disable,,,,,,,
disabled,,,,,,,
diversification,,,,,,,
diversified,,,,,,,
diversify,,,,,,,
diversifying,,,,,,,
engage,,,,,,,
engaging,,,,,,,
ethic,,,,,,,
ethically,,,,,,,
female,,,,,,,
food pantries,,,,,,,
food pantry,,,,,,,
foodbank,,,,,,,
foodbanks,,,,,,,
fund,,,,,,,
fundraising,,,,,,,
funds,,,,,,,
future ,,,,,,,
future generation,,,,,,,
future generations,,,,,,,
government,,,,,,,
governments,,,,,,,
groups of stakeholders,,,,,,,
habitat,,,,,,,
healthcare,,,,,,,
healthcaring,,,,,,,
hope,,,,,,,
human being,,,,,,,
humans,,,,,,,
hungry,,,,,,,
impact on community,,,,,,,
impact on local communities,,,,,,,
impact on local community,,,,,,,
impact on society,,,,,,,
improvements,,,,,,,
indigenous ,,,,,,,
indigenous people,,,,,,,
indigenous peoples,,,,,,,
innovation,,,,,,,
intelligence,,,,,,,
involve,,,,,,,
involved,,,,,,,
involvement,,,,,,,
jeopardize,,,,,,,
jeopardized,,,,,,,
jeopardizes,,,,,,,
jeopardizing,,,,,,,
job creation,,,,,,,
labor,,,,,,,
lawfulness,,,,,,,
lead,,,,,,,
leadership,,,,,,,
learned,,,,,,,
legal,,,,,,,
less fortunate,,,,,,,
life benefits,,,,,,,
lifestyles,,,,,,,
lives,,,,,,,
living,,,,,,,
local community,,,,,,,
local development,,,,,,,
local developments,,,,,,,
locale,,,,,,,
meaningful,,,,,,,
medicaid,,,,,,,
medicare,,,,,,,
medicinal,,,,,,,
minimize,,,,,,,
minority,,,,,,,
mission,,,,,,,
mortality,,,,,,,
native people,,,,,,,
native peoples,,,,,,,
native,,,,,,,
natural,,,,,,,
naturally,,,,,,,
nature,,,,,,,
not for profit,,,,,,,
oppressive regimes,,,,,,,
organizational involvement,,,,,,,
organization's involvement,,,,,,,
orphan,,,,,,,
orphans,,,,,,,
outperform,,,,,,,
outsource,,,,,,,
outsources,,,,,,,
outsourcing,,,,,,,
ownership,,,,,,,
owns,,,,,,,
participant,,,,,,,
participants,,,,,,,
participating,,,,,,,
people group,,,,,,,
people groups,,,,,,,
people,,,,,,,
performance,,,,,,,
performers,,,,,,,
person,,,,,,,
personal,,,,,,,
persons,,,,,,,
philosophies,,,,,,,
plan,,,,,,,
plurality,,,,,,,
poor individual,,,,,,,
poor individuals,,,,,,,
poor people,,,,,,,
prejudiced,,,,,,,
prejudices,,,,,,,
preserve culture,,,,,,,
prevented,,,,,,,
principles,,,,,,,
privileges,,,,,,,
profit sharing,,,,,,,
projects,,,,,,,
protected,,,,,,,
protections,,,,,,,
rebuilding,,,,,,,
recognition,,,,,,,
recognize,,,,,,,
recognized,,,,,,,
recovery,,,,,,,
redeemable,,,,,,,
regulate,,,,,,,
regulations,,,,,,,
regulatory,,,,,,,
relations,,,,,,,
reliability,,,,,,,
religious,,,,,,,
rely,,,,,,,
renew,,,,,,,
renovation,,,,,,,
respects,,,,,,,
responsibility,,,,,,,
role,,,,,,,
safe,,,,,,,
scholarships,,,,,,,
services,,,,,,,
shared norms,,,,,,,
social activities,,,,,,,
social inclination,,,,,,,
social issue,,,,,,,
social issues,,,,,,,
social policies,,,,,,,
social policy,,,,,,,
socially inclined,,,,,,,
socially minded,,,,,,,
societal ,,,,,,,
societal development ,,,,,,,
societal developments,,,,,,,
societal impact,,,,,,,
sponsors',,,,,,,
sponsorship,,,,,,,
stakeholders,,,,,,,
sustain,,,,,,,
sustainability,,,,,,,
sustainable,,,,,,,
sustained,,,,,,,
sustaining,,,,,,,
sustains,,,,,,,
sweat shops,,,,,,,
talented,,,,,,,
trained,,,,,,,
transparent,,,,,,,
trustees,,,,,,,
unconditional,,,,,,,
unemployable,,,,,,,
unethical,,,,,,,
unfriendly,,,,,,,
unionized,,,,,,,
unions,,,,,,,
unrestricted,,,,,,,
unsafe,,,,,,,
uprooting,,,,,,,
urban planning,,,,,,,
urban,,,,,,,
urbanization,,,,,,,
voluntarily,,,,,,,
volunteerism,,,,,,,
vote,,,,,,,
voting,,,,,,,
vulnerability,,,,,,,
vulnerable,,,,,,,
waters,,,,,,,
well-beings,,,,,,,
wellness,,,,,,,
women,,,,,,,
work,,,,,,,
wrongdoers,,,,,,,
wrongdoing,,,,,,,
wrongfully,,,,,,,
zone,,,,,,,
zones,,,,,,,
air,,,,,,,
carbon,,,,,,,
conservation,,,,,,,
conserve,,,,,,,
conserved,,,,,,,
conserves,,,,,,,
conserving,,,,,,,
eco-friendly,,,,,,,
energy,,,,,,,
greenlife,,,,,,,
landscaping,,,,,,,
contributions,,,,,,,
donations,,,,,,,
efficiency,,,,,,,
food,,,,,,,
foot-print,,,,,,,
foundation,,,,,,,
fuel,,,,,,,
grants,,,,,,,
local,,,,,,,
nonprofit,,,,,,,
non-profit,,,,,,,
outreach,,,,,,,
planet,,,,,,,
plant,,,,,,,
plants,,,,,,,
power,,,,,,,
scholarship,,,,,,,
suppliers,,,,,,,
benefitting,,,,,,,
benefitted,,,,,,,
community orientation,,,,,,,
education,,,,,,,
empowered,,,,,,,
kinder,,,,,,,
virtuous,,,,,,,
fellows,,,,,,,
cliques,,,,,,,
enemies,,,,,,,
deceit,,,,,,,
terrorists,,,,,,,
immigrants,,,,,,,
affect,,,,,,,
agreed,,,,,,,
collaborative,,,,,,,
concerts,,,,,,,
consensual,,,,,,,
contributing,,,,,,,
conversations,,,,,,,
democracy,,,,,,,
festivities,,,,,,,
harmonious,,,,,,,
matrimonial,,,,,,,
open mind,,,,,,,
reciprocated,,,,,,,
recommended,,,,,,,
reconciled,,,,,,,
requesting,,,,,,,
sacrificial,,,,,,,
self-less,,,,,,,
thank you,,,,,,,
anticipating,,,,,,,
parents,,,,,,,
bonds,,,,,,,
people together,,,,,,,
others feelings,,,,,,,
others needs,,,,,,,
others perspectives,,,,,,,
others happiness,,,,,,,
others well being,,,,,,,
peoples problems,,,,,,,
people's wellbeing,,,,,,,
caring for,,,,,,,
cooperative,,,,,,,
educational,,,,,,,
freeing,,,,,,,
healthier,,,,,,,
prosperous,,,,,,,
nation,,,,,,,
devoting,,,,,,,
terrorism,,,,,,,
emotional,,,,,,,
agreeing,,,,,,,
collaborating,,,,,,,
discussed,,,,,,,
empath,,,,,,,
befriend,,,,,,,
requests,,,,,,,
anticipatory,,,,,,,
parent,,,,,,,
bring together,,,,,,,
well being,,,,,,,
caring towards,,,,,,,
health conscious,,,,,,,
